Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q32,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40,Q42,Q43,Q44,Q45,Q46,Q47,Q48,Q49,Q50,Q52,Q53,Q54,Q55,Q56,Q57,Q58,Q59,Q60,Q62,Q63,Q64,Q65,Q66,Q67,Q68,Q69,Q73_1,Q73_2,Q73_3,Q73_4,Q73_5,Q73_6,Q73_7,Q73_8,Q73_9,Q74_1,Q74_2,Q74_3,Q74_4,Q74_5,Q74_6,Q74_7,Q74_8,Q74_9,Q75_1,Q75_2,Q75_3,Q75_4,Q75_5,Q75_6,Q75_7,Q75_8,Q75_9,Q76_1,Q76_2,Q76_3,Q76_4,Q76_5,Q76_6,Q76_7,Q76_8,Q76_9,Q77_1,Q77_2,Q77_3,Q77_4,Q77_5,Q77_6,Q77_7,Q77_8,Q77_9,Q78_1,Q78_2,Q78_3,Q78_4,Q78_5,Q78_6,Q78_7,Q78_8
1,4,6,4,4,1,24,0,0,1,2,2,2,1,2,2,3,2,1,2,1,1,1,1,1,2,3,1,1,2,1,3,2,2,1,1,2,1,1,1,2,2,2,1,1,1,2,1,1,2,2,2,2,2,1,1,1,2,1,2,2,1,72,41,28,63,77,23,7,31,60,35,9,52,81,27,37,91,62,42,75,77,60,84,44,41,34,56,72,83,66,74,94,63,-99,75,70,82,91,64,74,81,26,85,39,72,78,73,61,69,19,73,30,66,68
1,1,1,4,3,2,33,4,3,1,1,1,1,1,1,2,2,2,1,2,1,1,1,2,1,1,2,1,1,1,1,1,3,2,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,2,2,2,1,1,1,1,2,1,2,3,1,75,66,62,95,84,80,16,13,12,73,9,58,73,67,50,81,82,71,61,88,66,64,81,26,31,18,79,76,70,87,93,67,24,83,18,79,64,80,70,62,38,12,18,57,86,69,77,65,40,82,9,36,87
1,1,1,2,1,1,38,3,2,1,1,1,1,1,1,2,2,2,1,2,1,1,2,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,2,2,2,1,1,1,1,2,1,2,2,1,76,66,79,87,81,21,0,0,0,68,0,62,81,20,63,81,65,62,99,98,63,90,0,0,0,20,88,58,64,71,100,78,0,63,19,99,72,61,60,80,0,0,0,18,80,59,61,96,0,60,0,0,67
1,5,6,3,2,1,21,0,2,1,1,1,1,1,1,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,84,87,87,90,79,70,61,89,83,93,83,84,88,83,83,91,86,83,79,79,74,74,79,66,72,69,79,62,83,84,71,82,48,85,69,71,77,80,79,73,60,75,73,61,69,76,88,68,72,85,56,68,67
2,1,1,2,1,1,36,2,7,1,1,1,1,1,2,2,2,2,1,2,2,1,2,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,2,2,1,100,100,100,100,100,0,50,50,31,100,1,100,100,50,100,100,100,100,100,100,100,100,1,0,1,50,100,100,100,100,100,100,1,100,50,100,100,100,100,100,81,0,1,100,100,100,100,100,0,50,1,50,100
2,1,1,4,2,2,39,3,0,1,1,1,1,1,1,2,2,2,1,2,1,1,2,2,1,2,1,1,1,1,1,1,2,2,2,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,2,1,2,1,1,1,2,2,2,1,82,80,80,64,55,97,2,9,25,94,3,73,79,16,50,96,79,83,49,92,81,96,55,8,32,70,73,90,89,86,98,90,1,67,83,100,87,69,90,89,10,5,20,43,76,42,77,58,64,36,4,50,81
1,4,6,4,3,1,35,0,1,1,1,1,2,1,1,2,2,2,2,2,2,1,2,2,1,2,2,2,1,2,1,2,2,2,2,1,2,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,1,2,1,2,2,2,2,2,1,65,70,56,60,90,66,0,0,32,50,0,49,86,47,42,96,36,31,42,86,50,63,31,16,0,20,78,72,59,87,81,50,2,50,27,87,87,57,81,89,0,0,11,22,91,57,80,47,41,60,0,7,73
2,1,8,4,2,1,37,4,1,1,1,2,1,1,3,2,2,2,1,2,1,1,2,2,1,1,2,1,1,1,1,3,1,1,2,1,3,1,2,1,2,2,1,2,1,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,1,77,68,32,78,71,43,30,37,37,77,37,58,68,64,64,89,65,67,85,71,61,80,36,59,41,5,74,70,78,77,87,63,35,60,2,74,66,55,75,64,17,24,0,57,65,67,79,83,54,58,37,0,61
2,4,1,4,4,2,40,4,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,2,1,1,2,2,2,1,2,1,2,2,2,2,2,2,83,28,29,74,29,100,0,66,56,66,24,50,74,19,64,100,50,52,72,89,71,100,83,0,0,13,62,58,56,94,100,39,56,55,20,99,82,75,79,55,86,7,12,8,79,74,79,66,68,59,3,8,66
2,1,6,3,2,1,27,1,0,1,1,1,1,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,3,1,3,1,1,1,1,1,3,1,2,1,1,1,1,1,1,1,1,3,1,100,100,100,100,100,72,81,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,50,100,77,50,100,100,100,100,100,100,76,100,51,100,100,100,100,100,72,100,0,100,100,100,100,100,100,100,100,0,100
2,1,8,5,2,3,53,0,1,1,1,3,3,3,1,2,2,2,1,2,3,1,2,3,1,3,1,3,1,1,1,3,2,2,2,3,1,1,1,1,1,2,2,2,1,1,1,1,1,2,2,2,2,1,1,1,3,3,3,3,3,3,60,82,54,72,56,100,0,0,0,60,0,55,74,27,53,81,55,65,55,77,66,68,54,0,0,0,50,61,66,69,93,57,0,52,0,57,90,85,63,64,52,0,0,50,60,63,74,56,57,55,0,0,58
2,1,7,3,3,2,35,0,1,1,1,1,1,1,1,2,2,2,1,2,1,1,2,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,2,2,2,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,2,2,1,96,90,88,98,63,95,32,40,25,72,46,75,63,43,33,85,66,58,62,77,96,76,66,46,62,46,97,94,95,93,93,88,40,46,37,98,93,67,90,100,47,32,44,63,93,94,89,81,95,68,40,42,91
1,5,7,4,4,2,25,2,0,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,1,1,92,80,86,92,93,93,50,50,73,99,24,96,92,88,94,92,97,93,80,100,90,80,84,50,6,97,99,97,91,93,96,96,21,78,92,97,91,95,96,89,85,41,81,97,90,89,94,91,51,97,35,59,93
2,1,1,2,2,1,37,1,4,1,1,1,1,2,1,1,2,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,71,96,69,88,65,58,38,11,23,81,3,39,83,38,63,93,99,89,97,38,78,76,45,30,0,18,68,16,80,95,86,70,12,58,12,76,87,75,79,94,38,17,15,44,68,86,78,55,38,69,2,13,63
2,1,1,2,3,1,30,2,1,1,1,3,1,2,1,2,2,2,1,2,2,1,2,1,1,1,1,1,1,1,1,2,2,2,2,1,2,1,1,1,2,2,2,2,1,1,3,1,1,2,2,2,2,1,1,1,1,2,1,2,2,1,80,60,50,60,35,75,0,0,20,75,0,25,70,15,60,70,50,60,80,90,75,85,0,0,0,5,85,60,70,60,60,25,0,5,20,75,80,50,60,75,0,0,0,50,80,60,60,65,0,50,0,15,70
2,2,8,4,2,1,34,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,2,1,1,1,1,1,1,1,1,1,1,82,90,85,98,85,59,61,70,54,87,87,81,84,90,100,100,85,84,100,70,95,100,56,85,52,61,90,82,97,90,100,85,69,82,76,100,77,78,95,80,48,48,63,82,86,72,82,92,60,74,53,54,91
2,1,4,2,1,2,33,1,3,1,1,1,1,1,1,2,3,3,1,2,3,1,3,1,1,1,1,1,1,1,1,3,2,2,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,3,3,1,1,1,3,3,3,3,1,64,56,76,71,66,82,0,0,15,59,0,-99,30,-99,57,90,58,59,90,87,70,58,-99,0,-99,-99,95,69,60,58,94,59,8,55,85,100,86,65,87,88,0,0,78,21,13,53,55,91,14,45,0,30,59
2,2,1,3,4,3,39,2,5,1,1,2,1,2,1,2,2,2,1,2,2,1,2,1,1,2,2,1,1,2,1,1,2,2,1,1,2,1,1,1,2,2,2,1,1,1,1,1,1,2,2,1,2,1,1,1,1,2,1,2,2,1,65,87,0,90,35,100,0,10,0,56,1,6,90,0,94,100,32,9,89,84,7,99,75,10,0,85,100,2,60,89,100,0,0,0,100,100,100,68,100,90,0,1,91,6,93,92,85,77,0,64,0,0,100
2,1,8,3,1,3,34,3,1,1,1,1,1,1,1,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,2,2,1,100,100,70,75,80,100,0,0,0,80,0,80,80,100,90,100,70,80,100,80,100,75,100,0,0,0,80,80,80,70,100,0,0,70,50,100,90,90,100,80,0,0,0,80,90,85,90,80,0,75,0,0,80
1,1,2,2,1,1,45,0,0,1,1,1,1,1,3,2,2,2,1,2,2,1,2,2,1,2,1,1,1,1,1,3,2,2,2,1,2,1,1,1,1,2,2,2,1,1,1,1,1,2,2,1,2,1,2,1,1,2,1,2,1,2,64,58,57,85,64,-99,34,38,59,63,25,59,60,42,53,75,55,64,95,86,59,91,-99,20,24,38,81,31,64,66,90,61,24,58,41,88,62,70,61,59,32,25,64,37,63,56,77,84,41,66,29,70,60
2,1,1,3,1,3,59,2,0,1,1,1,1,2,1,2,1,2,1,2,2,1,2,1,1,2,2,1,1,1,1,1,2,2,2,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,1,100,100,100,95,70,100,0,100,0,100,75,14,100,0,75,100,100,40,100,100,100,100,100,0,0,0,100,30,100,90,100,70,100,100,0,100,100,75,100,100,100,80,0,70,75,100,100,100,100,0,0,75,100
1,1,7,4,4,2,28,0,2,1,2,2,1,2,1,2,2,2,1,2,2,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,2,2,2,1,1,1,1,1,2,2,2,2,2,2,1,1,2,2,2,2,2,82,63,40,73,46,86,13,8,15,63,10,41,90,67,46,86,65,41,76,75,59,85,58,44,13,55,71,58,75,77,93,62,4,55,42,82,84,78,88,97,8,5,8,22,60,73,83,62,16,46,5,25,73
2,2,6,3,3,1,20,5,3,1,1,1,1,1,1,2,2,2,1,2,1,1,2,1,1,1,1,2,1,2,1,2,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,1,2,2,1,75,70,75,65,55,90,5,0,45,85,10,55,75,45,65,60,75,75,40,95,65,67,45,5,0,55,90,90,80,95,65,55,0,55,55,75,90,85,90,95,15,0,55,75,80,80,75,75,10,70,5,45,80
1,4,7,3,3,2,30,3,4,1,1,2,2,1,2,2,2,2,1,2,1,1,2,2,1,2,1,1,1,2,1,2,1,2,1,1,2,1,1,1,2,2,2,1,1,1,2,1,1,2,2,1,2,1,1,1,1,2,1,1,1,1,100,95,29,31,74,8,38,0,10,100,17,67,81,38,40,89,29,82,90,91,67,96,27,45,5,100,72,27,54,100,78,45,8,41,87,100,93,81,95,76,11,29,63,19,35,77,65,88,3,93,5,32,58
1,1,8,5,2,1,33,0,1,1,1,1,1,1,3,2,2,2,1,2,2,1,1,1,1,2,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,3,2,3,2,1,2,1,1,2,2,2,3,2,69,50,50,58,61,-99,0,0,47,58,0,0,57,46,50,62,53,57,85,57,59,59,0,0,0,55,59,77,60,61,73,0,0,59,50,81,65,-99,56,71,-99,0,57,0,14,50,61,50,0,55,0,58,55
2,2,6,3,3,1,36,1,2,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,2,1,1,90,90,80,90,70,65,10,0,60,90,0,30,90,100,75,80,80,60,100,95,80,80,10,5,2,65,100,70,75,65,80,40,0,75,90,100,90,70,70,80,10,5,90,50,80,70,80,95,40,35,0,65,70
